Ús,any_,m3_registrats,núm_clients,ObjectId,CODI_ENS,NOM_ENS
Domèstic,2021,750124,7687,1,811200000,Ajutament de Manlleu
Industrial,2021,148755,444,2,811200000,Ajutament de Manlleu
Comercial,2021,16658,336,3,811200000,Ajutament de Manlleu
Obres,2021,5937,49,4,811200000,Ajutament de Manlleu
Agropecuari,2021,69204,49,5,811200000,Ajutament de Manlleu
Contra incendis,2021,13,32,6,811200000,Ajutament de Manlleu
Municipals,2021,75183,143,7,811200000,Ajutament de Manlleu
Domèstic,2020,767402,7622,8,811200000,Ajutament de Manlleu
Industrial,2020,160753,441,9,811200000,Ajutament de Manlleu
Comercial,2020,13236,330,10,811200000,Ajutament de Manlleu
Obres,2020,4892,44,11,811200000,Ajutament de Manlleu
Agropecuari,2020,61774,38,12,811200000,Ajutament de Manlleu
Contra incendis,2020,14,30,13,811200000,Ajutament de Manlleu
Municipals,2020,70965,141,14,811200000,Ajutament de Manlleu
Domèstic,2019,714501,7609,15,811200000,Ajutament de Manlleu
Industrial,2019,201910,481,16,811200000,Ajutament de Manlleu
Comercial,2019,10565,293,17,811200000,Ajutament de Manlleu
Obres,2019,4874,51,18,811200000,Ajutament de Manlleu
Agropecuari,2019,75964,49,19,811200000,Ajutament de Manlleu
Contra incendis,2019,25,28,20,811200000,Ajutament de Manlleu
Municipals,2019,80717,139,21,811200000,Ajutament de Manlleu
Domèstic,2018,690726,7549,22,811200000,Ajutament de Manlleu
Industrial,2018,177097,490,23,811200000,Ajutament de Manlleu
Comercial,2018,10342,287,24,811200000,Ajutament de Manlleu
Obres,2018,4183,51,25,811200000,Ajutament de Manlleu
Agropecuari,2018,62501,48,26,811200000,Ajutament de Manlleu
Contra incendis,2018,11,23,27,811200000,Ajutament de Manlleu
Municipals,2018,61392,137,28,811200000,Ajutament de Manlleu
Domèstic,2017,698719,7491,29,811200000,Ajutament de Manlleu
Industrial,2017,189284,490,30,811200000,Ajutament de Manlleu
Comercial,2017,9306,296,31,811200000,Ajutament de Manlleu
Obres,2017,3983,48,32,811200000,Ajutament de Manlleu
Agropecuari,2017,78390,50,33,811200000,Ajutament de Manlleu
Contra incendis,2017,7,17,34,811200000,Ajutament de Manlleu
Municipals,2017,64366,132,35,811200000,Ajutament de Manlleu
Domèstic,2016,698427,7411,36,811200000,Ajutament de Manlleu
Industrial,2016,192499,509,37,811200000,Ajutament de Manlleu
Comercial,2016,9502,296,38,811200000,Ajutament de Manlleu
Obres,2016,5336,56,39,811200000,Ajutament de Manlleu
Agropecuari,2016,65865,28,40,811200000,Ajutament de Manlleu
Contra incendis,2016,129,21,41,811200000,Ajutament de Manlleu
Municipals,2016,65766,129,42,811200000,Ajutament de Manlleu
Domèstic,2015,680405,7357,43,811200000,Ajutament de Manlleu
Industrial,2015,174040,513,44,811200000,Ajutament de Manlleu
Comercial,2015,9037,289,45,811200000,Ajutament de Manlleu
Obres,2015,5253,54,46,811200000,Ajutament de Manlleu
Agropecuari,2015,51648,29,47,811200000,Ajutament de Manlleu
Contra incendis,2015,31,20,48,811200000,Ajutament de Manlleu
Municipals,2015,57953,126,49,811200000,Ajutament de Manlleu
Domèstic,2014,666093,7350,50,811200000,Ajutament de Manlleu
Industrial,2014,166539,524,51,811200000,Ajutament de Manlleu
Comercial,2014,9434,287,52,811200000,Ajutament de Manlleu
Obres,2014,4669,54,53,811200000,Ajutament de Manlleu
Agropecuari,2014,59519,29,54,811200000,Ajutament de Manlleu
Contra incendis,2014,57,20,55,811200000,Ajutament de Manlleu
Municipals,2014,48553,145,56,811200000,Ajutament de Manlleu
